"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","RPL18A (pp) RPL9","false","pp","RPL18A (pp) RPL9","0.997",,"0.9","0.991",,,"0.999","0.694"
"pp","RPL18A (pp) RPL17","false","pp","RPL18A (pp) RPL17","0.993",,"0.9","0.989",,,"0.999","0.244"
"pp","RPL18A (pp) RPS18","false","pp","RPL18A (pp) RPS18","0.999",,"0.9","0.992",,,"0.999","0.294"
"pp","RPL18A (pp) RPL31","false","pp","RPL18A (pp) RPL31","0.993",,"0.9","0.963",,"0.295","0.999","0.71"
"pp","RPL18A (pp) RPL14","false","pp","RPL18A (pp) RPL14","0.993",,"0.9","0.992",,,"0.999","0.704"
"pp","RPL18A (pp) RPL24","false","pp","RPL18A (pp) RPL24","0.976",,"0.9","0.992",,,"0.999","0.339"
"pp","RPL18A (pp) RPS6","false","pp","RPL18A (pp) RPS6","0.995",,"0.9","0.992",,,"0.999","0.433"
"pp","RPL18A (pp) ISG15","false","pp","RPL18A (pp) ISG15","0.189",,,"0.355",,,"0.459","0.05"
"pp","RPL18A (pp) RPL11","false","pp","RPL18A (pp) RPL11","0.996",,"0.9","0.992",,,"0.999","0.248"
"pp","RPL18A (pp) RPL10A","false","pp","RPL18A (pp) RPL10A","0.997",,"0.9","0.992",,"0.219","0.999","0.606"
"pp","RPL18A (pp) RPS4X","false","pp","RPL18A (pp) RPS4X","0.997",,"0.9","0.991",,,"0.999","0.198"
